base_mode,generator,n,factual_correctness_ratio_mean,grounding_ratio_mean,hallucination_rate_mean
rag_classic,anthropic,612,0.19585651256953407,0.47880714110946004,0.52119285889054
rag_classic,deepseek,38,0.22210617469905394,0.565743930991609,0.434256069008391
rag_classic,openai,584,0.23966476426921632,0.4553217349431391,0.544678265056861
rag_dspy,openai,588,0.3348761514373759,0.7474464690638161,0.252553530936184
rag_graph,anthropic,611,0.19646557631307282,0.5783085310587213,0.4216914689412788
rag_graph,deepseek,36,0.16278721278721278,0.6108906525573192,0.3891093474426808
rag_graph,openai,589,0.24037767326052556,0.529856098061531,0.470143901938469
zeroshot,anthropic,202,0.14976154901145972,,
zeroshot,deepseek,15,0.12097476597476597,,
zeroshot,openai,196,0.1692749158437934,,
