base_mode,generator,k_value,n,factual_correctness_ratio_mean,grounding_ratio_mean,hallucination_rate_mean
rag_classic,anthropic,1.0,204,0.20866766695805122,0.38322683317159834,0.6167731668284017
rag_classic,anthropic,3.0,204,0.17858871010319427,0.5053828395980258,0.4946171604019743
rag_classic,anthropic,5.0,204,0.20031316064735671,0.5478117505587562,0.4521882494412438
rag_classic,deepseek,1.0,14,0.26963413570556427,0.46465201465201467,0.5353479853479853
rag_classic,deepseek,3.0,12,0.1832827575474634,0.5784844240726593,0.4215155759273406
rag_classic,deepseek,5.0,12,0.20548030400971576,0.6709440069734187,0.32905599302658123
rag_classic,openai,1.0,195,0.23439264325418172,0.3511402730033499,0.6488597269966501
rag_classic,openai,3.0,194,0.23213633731674968,0.4946296757080262,0.5053703242919738
rag_classic,openai,5.0,195,0.2524267049190126,0.5203968353014506,0.47960316469854936
rag_dspy,openai,1.0,196,0.35909284592958063,0.6394684906929805,0.36053150930701955
rag_dspy,openai,3.0,196,0.3083071690214547,0.7870990319204605,0.2129009680795395
rag_dspy,openai,5.0,196,0.3372284393610925,0.8157718845780071,0.184228115421993
rag_graph,anthropic,1.0,203,0.19962686276176841,0.5155454832112356,0.48445451678876444
rag_graph,anthropic,3.0,202,0.20865057797211625,0.6359848149779647,0.3640151850220353
rag_graph,anthropic,5.0,206,0.18140192833146127,0.5836011978614026,0.4163988021385973
rag_graph,deepseek,1.0,12,0.11492673992673992,0.5318463943463944,0.4681536056536057
rag_graph,deepseek,3.0,12,0.17357642357642358,0.6908508158508159,0.3091491841491842
rag_graph,deepseek,5.0,12,0.19985847485847485,0.6099747474747474,0.39002525252525255
rag_graph,openai,1.0,195,0.2341144542067619,0.46867943964867037,0.5313205603513296
rag_graph,openai,3.0,195,0.2838741486433794,0.5830310714926099,0.41696892850739004
rag_graph,openai,5.0,199,0.2038928240938291,0.5376969451542316,0.4623030548457684
