pipeline,judge_provider,judge_model,n,factual_correctness_ratio_mean,grounding_ratio_mean,hallucination_rate_mean,hallucination_high_rate
rag_classic:anthropic:k=1,anthropic,claude-sonnet-4-20250514,50,0.1678,0.393634,0.606366,0.92
rag_classic:anthropic:k=1,deepseek,deepseek-chat,50,0.08963781301258081,0.35602008517872696,0.6439799148212729,0.88
rag_classic:anthropic:k=1,openai,gpt-4o,52,0.1620069300357762,0.37155368669791744,0.6284463133020826,0.9423076923076923
rag_classic:anthropic:k=1,openai,gpt-4o-mini,52,0.40907602013371247,0.41105342307265386,0.5889465769273461,0.8076923076923077
rag_classic:anthropic:k=3,anthropic,claude-sonnet-4-20250514,50,0.18309999999999998,0.54299,0.45701,0.68
rag_classic:anthropic:k=3,deepseek,deepseek-chat,50,0.09753120938677542,0.4309471851969092,0.5690528148030907,0.92
rag_classic:anthropic:k=3,openai,gpt-4o,52,0.13380698612599065,0.495004440946183,0.504995559053817,0.7884615384615384
rag_classic:anthropic:k=3,openai,gpt-4o-mini,52,0.2969725598684875,0.5511732517105821,0.448826748289418,0.7115384615384616
rag_classic:anthropic:k=5,anthropic,claude-sonnet-4-20250514,50,0.17449,0.59622,0.40378000000000003,0.7
rag_classic:anthropic:k=5,deepseek,deepseek-chat,50,0.09070745871563612,0.48312317431566326,0.5168768256843367,0.82
rag_classic:anthropic:k=5,openai,gpt-4o,52,0.14972682857133218,0.5628229268217956,0.4371770731782044,0.7307692307692307
rag_classic:anthropic:k=5,openai,gpt-4o-mini,52,0.38111955289557103,0.5484547346821103,0.45154526531788974,0.6923076923076923
rag_classic:deepseek:k=1,deepseek,deepseek-chat,4,0.21626984126984128,0.4261904761904762,0.5738095238095238,1.0
rag_classic:deepseek:k=1,openai,gpt-4o,5,0.20100732600732601,0.4481684981684982,0.5518315018315019,0.8
rag_classic:deepseek:k=1,openai,gpt-4o-mini,5,0.38095238095238093,0.511904761904762,0.48809523809523814,0.6
rag_classic:deepseek:k=3,deepseek,deepseek-chat,4,0.208578431372549,0.5098039215686274,0.49019607843137253,0.75
